HI81,pc_counter,gps_wn,gps_tow,ins_status,utc,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temperature,pressure,od_vel,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,solq_pos,solq_heading,nv,nv_heading,diff_age,pdop,hdop,undulation,ins_lat,ins_lon,ins_msl,ins_vel_e,ins_vel_n,ins_vel_u,acc_e,acc_n,acc_u,heave,surge,sway,heave_period,gnss_ant_status
HI81,109225,6579,23296,1,4294880878,-0.001494734665,-0.00298946933,0.9959915316,-0.05729578018,0.1718873405,0,-12.481453,-4.608067,-14.434541,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109226,6579,23296,1,4294880878,0,-0.002491224441,1.001472225,0.05729578018,0.05729578018,0,-12.634038,-4.943754,-14.95333,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109227,6579,23296,1,4294880878,-0.00298946933,-0.0009964897765,0.9969880214,0,0.05729578018,0,-13.091793,-5.218407,-14.34299,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109228,6579,23296,1,4294880878,0.0004982448883,-0.003487714218,1.00197047,0.05729578018,0,0,-12.664555,-4.547033,-14.64816,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109229,6579,23296,1,4294880878,-0.0009964897765,-0.001494734665,0.9994792459,0,0,0,-12.51197,-4.852203,-14.526092,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109230,6579,23296,1,4294880878,-0.0004982448883,-0.001494734665,0.9979845112,0,0.05729578018,0,-12.389902,-4.974271,-14.64816,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109231,6579,23296,1,4294880878,0,-0.002491224441,0.9999774907,0,0,0,-12.51197,-4.852203,-14.281956,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109232,6579,23296,1,4294880878,-0.001494734665,-0.00298946933,0.9994792459,0,0.2291831207,0,-12.51197,-4.638584,-14.281956,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109233,6579,23296,1,4294880878,0.001992979553,-0.002491224441,1.000973981,0.05729578018,-0.05729578018,0,-12.542487,-4.791169,-14.739711,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109234,6579,23296,1,4294880878,-0.003487714218,-0.004484203994,0.9974862663,0,0.05729578018,0,-12.51197,-4.333414,-14.404024,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
