HI81,pc_counter,gps_wn,gps_tow,ins_status,utc,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temperature,pressure,od_vel,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,solq_pos,solq_heading,nv,nv_heading,diff_age,pdop,hdop,undulation,ins_lat,ins_lon,ins_msl,ins_vel_e,ins_vel_n,ins_vel_u,acc_e,acc_n,acc_u,heave,surge,sway,heave_period,gnss_ant_status
HI81,608380,6579,23296,1,4294880878,-0.01345261198,0.005978938659,1.000475736,0,0,0,-18.279683,-17.760894,-7.659767,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608381,6579,23296,1,4294880878,-0.01395085687,0.007473673324,0.998981001,0,0,0,-18.737438,-17.669343,-7.537699,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608382,6579,23296,1,4294880878,-0.01494734665,0.009964897765,0.998981001,0,0.05729578018,0,-18.737438,-18.066064,-7.659767,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608383,6579,23296,1,4294880878,-0.01444910176,0.009466652877,1.000475736,0,0,0,-18.951057,-17.791411,-7.659767,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608384,6579,23296,1,4294880878,-0.01444910176,0.007971918212,0.9984827561,0,0.05729578018,0,-19.103642,-17.882962,-7.537699,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608385,6579,23296,1,4294880878,-0.01395085687,0.008968407989,1.000475736,0.05729578018,0.05729578018,0,-19.012091,-18.249166,-7.537699,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608386,6579,23296,1,4294880878,-0.01594383642,0.007971918212,0.9984827561,0,0,0.05729578018,-19.195193,-17.913479,-7.598733,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608387,6579,23296,1,4294880878,-0.01245612221,0.008968407989,0.9984827561,0,0.05729578018,0,-19.164676,-17.882962,-7.537699,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608388,6579,23296,1,4294880878,-0.01395085687,0.007971918212,1.000973981,0,0,0.05729578018,-18.951057,-17.943996,-7.537699,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608389,6579,23296,1,4294880878,-0.01345261198,0.007473673324,0.9959915316,0,0.1145915604,0,-18.859506,-17.882962,-7.62925,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608390,6579,23296,1,4294880878,-0.01295436709,0.009466652877,1.000973981,0,0,0,-18.859506,-17.547275,-7.32408,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608391,6579,23296,1,4294880878,-0.01345261198,0.008968407989,0.9979845112,0,0,-0.05729578018,-19.073125,-17.913479,-7.781835,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608392,6579,23296,1,4294880878,-0.01494734665,0.008968407989,1.001472225,0,0.1145915604,0,-18.890023,-17.943996,-7.446148,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608393,6579,23296,1,4294880878,-0.01145963243,0.0084701631,1.000475736,0,-0.05729578018,0,-18.890023,-17.791411,-7.079944,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608394,6579,23296,1,4294880878,-0.01494734665,0.006975428436,0.9979845112,0,0.1145915604,0,-18.279683,-17.913479,-7.385114,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
