$GNIMU,513760,0.015,0.643,0.738,0.11,-0.09,0.01,0.00
$GNIMU,513770,0.016,0.648,0.740,0.19,-0.10,-0.02,0.00
$GNIMU,513780,0.016,0.650,0.743,-0.05,-0.10,-0.04,0.00
$GNIMU,513790,0.015,0.645,0.740,0.05,-0.03,-0.11,0.00
$GNIMU,513800,0.014,0.643,0.736,0.17,-0.03,-0.04,0.00
$GNIMU,513810,0.016,0.639,0.733,0.12,-0.08,0.00,0.00
$GNPVT,513820,1,29,39.9056578,116.4573567,126.077,0.013,0.024,-0.033,2.96,2.73,10.56,0.05,0.05,0.06
$GNIMU,513820,0.015,0.645,0.737,0.02,-0.06,0.03,0.00
$GNIMU,513830,0.013,0.645,0.740,0.06,-0.06,-0.04,0.00
$GNIMU,513840,0.016,0.646,0.741,0.17,-0.08,-0.01,0.00
$GNIMU,513850,0.015,0.646,0.740,0.14,-0.17,0.03,0.00
$GNIMU,513860,0.015,0.644,0.739,0.02,-0.07,-0.03,0.00
$GNIMU,513870,0.015,0.643,0.737,-0.06,-0.11,-0.06,0.00
$GNIMU,513880,0.016,0.643,0.738,0.05,-0.06,-0.07,0.00
$GNIMU,513890,0.015,0.645,0.739,0.15,-0.08,-0.03,0.00
$GNIMU,513900,0.015,0.645,0.739,-0.02,-0.05,-0.05,0.00
$GNIMU,513910,0.015,0.644,0.737,-0.06,-0.05,-0.02,0.00
$GNPVT,513920,1,29,39.9056577,116.4573567,126.066,0.015,0.021,-0.035,2.95,2.73,10.52,0.05,0.05,0.06
$GNIMU,513920,0.014,0.644,0.739,0.14,-0.03,0.05,0.00
$GNIMU,513930,0.014,0.645,0.740,0.18,-0.06,0.01,0.00
$GNIMU,513940,0.016,0.646,0.739,0.02,0.00,-0.01,0.00
$GNIMU,513950,0.014,0.645,0.740,-0.02,-0.09,-0.01,0.00
$GNIMU,513960,0.016,0.643,0.737,0.18,-0.05,-0.04,0.00
$GNIMU,513970,0.013,0.645,0.737,0.11,-0.07,-0.05,0.00
$GNIMU,513980,0.016,0.645,0.740,0.00,-0.12,0.02,0.00
$GNIMU,513990,0.013,0.646,0.739,-0.02,-0.08,-0.05,0.00
$GNIMU,514000,0.014,0.645,0.740,0.09,-0.04,-0.04,0.00
$GNIMU,514010,0.016,0.645,0.738,0.09,-0.08,-0.02,0.00
$GNPVT,514020,1,29,39.9056577,116.4573568,126.053,0.015,0.024,-0.040,2.95,2.73,10.52,0.05,0.05,0.06
$GNIMU,514020,0.015,0.644,0.736,-0.01,-0.09,0.01,0.00
$GNIMU,514030,0.015,0.643,0.737,-0.08,-0.08,-0.02,0.00
$GNIMU,514040,0.016,0.644,0.738,0.08,-0.03,0.05,0.00
$GNIMU,514050,0.016,0.645,0.738,0.14,-0.08,0.01,0.00
$GNIMU,514060,0.015,0.643,0.740,0.08,-0.05,-0.02,0.00
$GNIMU,514070,0.015,0.645,0.740,0.14,-0.02,-0.05,0.00
$GNIMU,514080,0.015,0.645,0.740,0.10,-0.11,-0.01,0.00
$GNIMU,514090,0.015,0.646,0.740,0.05,-0.11,0.04,0.00
$GNIMU,514100,0.016,0.643,0.739,-0.05,-0.07,-0.07,0.00
$GNIMU,514110,0.014,0.644,0.738,-0.01,-0.02,-0.05,0.00
$GNPVT,514120,1,28,39.9056576,116.4573568,126.047,0.019,0.026,-0.039,2.95,2.73,10.52,0.05,0.05,0.06
$GNIMU,514120,0.014,0.645,0.740,-0.01,-0.06,-0.01,0.00
$GNIMU,514130,0.014,0.646,0.739,0.18,-0.10,-0.03,0.00
$GNIMU,514140,0.015,0.646,0.740,0.05,-0.08,-0.02,0.00
$GNIMU,514150,0.015,0.646,0.741,0.07,-0.09,0.02,0.00
$GNIMU,514160,0.015,0.646,0.738,0.13,-0.12,-0.05,0.00
$GNIMU,514170,0.016,0.646,0.737,0.16,-0.10,-0.06,0.00
$GNIMU,514180,0.015,0.645,0.738,0.04,-0.05,0.02,0.00
$GNIMU,514190,0.015,0.646,0.739,0.11,-0.01,-0.06,0.00
$GNIMU,514200,0.014,0.645,0.740,0.08,-0.09,-0.08,0.00
$GNIMU,514210,0.015,0.643,0.738,0.04,-0.12,-0.13,0.00
$GNPVT,514220,1,28,39.9056576,116.4573568,126.040,0.023,0.034,-0.040,2.95,2.73,10.52,0.05,0.05,0.06
$GNIMU,514220,0.015,0.644,0.738,0.11,-0.08,-0.01,0.00
$GNIMU,514230,0.016,0.644,0.740,0.02,-0.09,-0.02,0.00
$GNIMU,514240,0.015,0.644,0.739,-0.04,-0.10,-0.05,0.00
$GNIMU,514250,0.015,0.645,0.738,0.03,-0.07,-0.02,0.00
$GNIMU,514260,0.015,0.644,0.740,0.11,0.00,-0.03,0.00
