Time,GyoCalibratedX, GyoCalibratedY, GyoCalibratedZ,MagCalibratedX, MagCalibratedY, MagCalibratedZ
15-12-12.836,-141,-21,51,151,56,-259
15-12-12.848,-91,6,0,149,56,-259
15-12-12.856,-74,-10,-3,151,58,-259
15-12-12.865,-49,-24,-71,152,57,-256
15-12-12.877,-56,-21,-115,150,58,-257
15-12-12.886,-90,-32,-83,150,58,-257
15-12-12.896,-99,-32,-61,154,58,-256
15-12-12.906,-76,-20,-65,151,58,-257
15-12-12.916,-65,-13,-57,151,59,-258
15-12-12.926,-59,1,1,151,61,-258
15-12-12.935,-57,8,33,151,60,-256
15-12-12.946,-15,38,35,151,60,-258
15-12-12.955,19,53,57,151,60,-256
15-12-12.966,45,63,69,151,59,-252
15-12-12.976,51,61,61,153,58,-256
15-12-12.986,-9,31,86,153,58,-256
15-12-12.996,-112,9,124,152,58,-256
15-12-13.006,-168,15,111,152,59,-253
15-12-13.016,-154,18,47,152,58,-254
15-12-13.026,-112,20,45,154,59,-254
15-12-13.036,-115,16,38,153,59,-253
15-12-13.046,-134,9,5,154,59,-252
15-12-13.056,-132,-1,-29,155,61,-253
15-12-13.066,-180,-26,-19,154,60,-253
15-12-13.076,-168,-33,-19,154,61,-251
15-12-13.085,-69,-47,-55,155,62,-251
15-12-13.096,5,-41,-91,154,62,-248
15-12-13.106,48,-60,-122,154,62,-249
15-12-13.115,329,68,39,154,62,-251
15-12-13.125,382,173,204,154,61,-245
15-12-13.136,242,212,196,154,58,-248
15-12-13.144,98,147,163,158,58,-248
15-12-13.156,20,86,160,157,56,-248
15-12-13.166,-18,43,140,159,56,-246
15-12-13.176,-74,6,132,158,56,-247
15-12-13.186,-72,3,112,160,54,-245
15-12-13.196,-173,31,85,160,55,-247
15-12-13.206,-328,22,7,160,56,-245
15-12-13.216,-370,-2,-49,160,56,-245
15-12-13.225,-265,-5,-94,160,58,-244
15-12-13.236,-109,9,-76,160,59,-242
15-12-13.246,69,32,-49,160,60,-243
15-12-13.255,42,37,-2,160,58,-241
15-12-13.267,73,58,46,160,60,-242
15-12-13.277,94,120,22,162,59,-242
15-12-13.287,197,141,-23,161,59,-243
15-12-13.297,-31,-267,102,162,57,-241
15-12-13.306,-250,-502,82,162,57,-243
15-12-13.315,-201,-544,47,159,58,-244
15-12-13.326,-103,-350,63,156,59,-244
15-12-13.335,-185,112,36,160,59,-245
15-12-13.347,-167,426,103,158,59,-244
15-12-13.357,114,405,-49,160,60,-242
15-12-13.367,222,315,-209,161,60,-241
15-12-13.375,210,185,-188,163,60,-242
15-12-13.386,151,85,-86,163,59,-242
15-12-13.395,173,32,-77,164,58,-239
15-12-13.409,141,20,-125,164,58,-238
15-12-13.417,107,26,-198,163,57,-239
15-12-13.425,133,0,-194,164,57,-240
15-12-13.435,100,-10,-85,162,57,-239
15-12-13.446,71,-26,-53,163,57,-239
15-12-13.456,25,-30,6,165,57,-239
15-12-13.466,-34,-36,38,162,56,-239
15-12-13.475,-31,-47,55,161,56,-239
15-12-13.486,-6,-98,63,162,56,-240
15-12-13.495,-21,-170,8,163,56,-242
15-12-13.505,-101,-240,-66,160,57,-238
15-12-13.515,-441,-358,209,160,58,-243
15-12-13.526,-99,-128,162,159,58,-241
15-12-13.535,-20,-289,373,157,58,-242
15-12-13.546,-75,-746,356,154,58,-244
15-12-13.556,-168,-329,174,155,56,-244
15-12-13.565,-386,-359,-2,155,56,-244
15-12-13.576,-291,-292,-124,151,58,-245
15-12-13.586,-198,-207,-72,151,61,-245
15-12-13.597,-145,-129,81,149,61,-246
15-12-13.607,-122,-114,102,151,62,-247
15-12-13.616,-164,-89,-36,150,61,-248
15-12-13.625,-214,-40,-190,149,63,-247
15-12-13.636,-246,-27,-363,149,63,-246
15-12-13.646,-295,8,-374,149,65,-246
15-12-13.655,-290,46,-246,148,66,-245
15-12-13.666,-168,72,-143,148,68,-245
15-12-13.675,-95,49,-140,148,70,-243
15-12-13.685,-79,5,-174,148,71,-241
15-12-13.696,-124,-26,-184,148,70,-244
15-12-13.706,-172,17,-188,150,72,-245
15-12-13.715,-152,58,-112,148,73,-245
15-12-13.726,-76,118,-34,150,74,-246
15-12-13.736,-92,174,-36,150,74,-242
15-12-13.747,-160,204,-82,151,74,-241
15-12-13.757,-185,219,-116,151,75,-244
15-12-13.767,-193,227,-133,152,77,-240
15-12-13.777,-198,240,-149,154,78,-242
15-12-13.787,-185,240,-156,154,79,-239
15-12-13.797,-284,241,-116,155,81,-239
15-12-13.807,-345,182,-42,155,82,-239
15-12-13.817,-352,54,10,155,84,-236
15-12-13.827,-383,46,69,156,84,-236
15-12-13.837,-418,106,87,156,86,-239
15-12-13.847,-495,122,83,157,88,-233
15-12-13.857,-585,137,83,157,89,-234
15-12-13.867,-699,162,83,157,92,-234
15-12-13.877,-878,133,89,159,94,-233
15-12-13.885,-968,154,54,159,97,-230
15-12-13.897,-981,108,-10,158,101,-229
15-12-13.907,-1068,56,-24,160,105,-227
15-12-13.917,-1252,41,-34,160,110,-227
15-12-13.927,-1348,-16,-41,159,114,-224
15-12-13.937,-1349,-195,4,160,119,-221
15-12-13.947,-1214,-216,42,159,124,-219
15-12-13.957,-1148,-104,-62,157,128,-216
15-12-13.967,-1326,-173,-76,157,132,-216
15-12-13.977,-1171,-193,2,155,136,-212
15-12-13.987,-1002,-199,0,154,141,-210
15-12-13.997,-984,-156,35,154,144,-207
15-12-14.005,-1019,-108,93,152,147,-204
15-12-14.017,-1007,3,149,154,151,-204
15-12-14.027,-826,96,191,152,153,-200
15-12-14.037,-661,93,205,154,157,-196
15-12-14.045,-487,83,218,155,157,-195
15-12-14.057,-349,77,209,155,159,-192
15-12-14.067,-244,78,209,157,159,-192
15-12-14.077,-117,84,185,157,159,-187
15-12-14.087,75,87,150,157,159,-190
15-12-14.097,366,81,108,159,158,-187
15-12-14.107,693,62,62,158,157,-188
15-12-14.117,966,47,0,159,154,-190
15-12-14.127,1153,50,-72,158,151,-194
15-12-14.137,1339,35,-96,160,147,-193
15-12-14.147,1608,33,-96,160,143,-198
15-12-14.156,1881,27,-61,158,138,-202
15-12-14.166,2035,-15,12,160,131,-207
15-12-14.176,1986,-32,114,160,123,-212
15-12-14.185,1944,-27,171,162,115,-213
15-12-14.196,1879,-47,187,162,109,-219
15-12-14.205,1791,-143,142,162,102,-224
15-12-14.216,1848,-200,94,161,93,-225
15-12-14.226,1898,-210,60,160,86,-227
15-12-14.236,1870,-173,65,160,79,-232
15-12-14.245,1856,-177,-14,160,79,-232
15-12-14.256,1829,-151,-118,160,71,-235
15-12-14.265,1670,-140,-165,162,64,-239
15-12-14.276,1637,-151,-205,160,57,-243
15-12-14.286,1677,-135,-184,159,51,-244
15-12-14.296,1673,-138,-190,159,44,-248
15-12-14.306,1593,-177,-167,158,37,-248
15-12-14.316,1708,-124,-135,158,30,-248
15-12-14.326,1712,-181,-52,158,25,-250
15-12-14.335,1963,-149,-35,157,17,-248
15-12-14.347,2193,-97,18,157,9,-251
15-12-14.357,2224,-16,14,157,0,-251
15-12-14.367,2218,69,40,157,-8,-250
15-12-14.376,2215,162,14,157,-18,-250
15-12-14.386,2314,202,0,160,-27,-248
15-12-14.396,2506,224,-11,160,-37,-244
