Time,ID,AccRaw, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,GyoCalibratedX, GyoCalibratedY, GyoCalibratedZ,Pitch, Roll, Yaw,Q(w), Q(x), Q(y), Q(z),Pressure
2018/3/12 23:10:29 720,0,29,-5,991,23,-35,22,2,-5,-3,-1.73,-0.32,4.9,0.9989536,-0.00218291,-0.01523841,0.0430685,0
2018/3/12 23:10:29 740,0,29,-5,990,24,-34,25,3,-4,0,-1.73,-0.32,4.9,0.9989541,-0.002190964,-0.01521417,0.04306557,0
2018/3/12 23:10:29 758,0,29,-5,990,12,-31,28,-8,-1,1,-1.72,-0.32,4.9,0.9989544,-0.002212548,-0.01518775,0.04306699,0
2018/3/12 23:10:29 780,0,30,-5,989,12,-29,30,0,1,4,-1.73,-0.32,4.9,0.9989537,-0.002223524,-0.01520785,0.04307254,0
2018/3/12 23:10:29 800,0,29,-4,990,15,-29,27,2,1,1,-1.72,-0.32,4.9,0.9989538,-0.002206263,-0.01519915,0.0430772,0
2018/3/12 23:10:29 819,0,29,-4,990,22,-30,20,9,0,-5,-1.72,-0.32,4.9,0.9989548,-0.002157324,-0.01516574,0.04306979,0
2018/3/12 23:10:29 841,0,29,-4,990,24,-32,22,11,0,-3,-1.72,-0.31,4.9,0.9989555,-0.002108358,-0.01513927,0.04306256,0
2018/3/12 23:10:29 859,0,29,-4,990,23,-34,24,10,-3,-1,-1.72,-0.31,4.9,0.998956,-0.00206479,-0.01511857,0.04305873,0
2018/3/12 23:10:29 880,0,29,-4,990,23,-36,26,10,-5,0,-1.71,-0.3,4.9,0.9989564,-0.002024475,-0.01510265,0.04305894,0
2018/3/12 23:10:29 900,0,30,-4,992,28,-35,28,16,-3,2,-1.72,-0.3,4.9,0.9989561,-0.00198217,-0.01511199,0.04306322,0
2018/3/12 23:10:29 920,0,30,-4,992,33,-32,28,20,-1,2,-1.72,-0.29,4.9,0.9989556,-0.00193174,-0.01513608,0.04306831,0
