Time,ID,AccRawX, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,MagRawX, MagRawY, MagRawZ,Pitch, Roll, Yaw,Test8F[0], Test8F[1], Test8F[2], Test8F[3], Test8F[4], Test8F[5], Test8F[6], Test8F[7]
16-11-41.760,7,914,402,34,-683,487,-203,-344,-38,-373,65,-99.44,-177.3,0,0,-50.87973,0.009405129,1,0,39.96571,0.01596784
16-11-41.780,7,908,411,44,-664,381,-146,-341,-41,-377,64.5,-102.57,-179.3,0,0,-50.78073,0.01685692,1,0,40.05606,0.01597062
16-11-41.801,7,903,418,66,-397,393,2,-342,-42,-381,64.12,-105.09,179,0,0,-50.61551,0.02209335,1,0,39.58737,0.01597339
16-11-41.821,7,910,416,101,-205,199,118,-347,-41,-384,64.14,-107.07,177.4,0,0,-50.78669,0.0237647,1,0,40.18806,0.01597617
16-11-41.841,7,871,400,115,-1,-122,76,-349,-44,-386,64.32,-107.42,177.2,0,0,-51.52575,0.02837727,1,0,40.20311,0.01597895
16-11-41.861,7,854,395,114,0,-91,51,-343,-36,-385,64.52,-107.02,177.7,0,0,-50.48958,0.04147325,1,0,40.33042,0.01598173
16-11-41.882,7,863,390,117,-78,-91,38,-341,-35,-381,64.65,-106.79,178,0,0,-50.27745,0.01187652,1,0,40.23298,0.01598451
16-11-41.899,7,885,369,134,-146,-61,88,-340,-30,-387,64.81,-106.76,178.3,0,0,-50.03205,0.01694351,1,0,39.97185,0.01598729
16-11-41.920,7,889,375,125,-156,-45,104,-344,-34,-383,65.04,-107.03,178.4,0,0,-50.64863,0.0269248,1,0,40.22482,0.01599007
16-11-41.940,7,889,384,120,-70,-56,68,-344,-34,-381,65.23,-107.17,178.4,0,0,-50.75237,0.01553185,1,0,40.22651,0.01599285
16-11-41.960,7,886,385,122,-89,0,40,-345,-30,-379,65.35,-107.31,178.5,0,0,-50.39373,0.00749573,1,0,40.41365,0.01599563
16-11-41.980,7,885,381,123,-84,-6,48,-342,-30,-381,65.43,-107.48,178.4,0,0,-50.45518,0.004221112,1,0,40.09316,0.01599841
16-11-41.999,7,891,376,136,-113,-1,58,-342,-29,-383,65.53,-107.73,178.4,0,0,-50.53237,0.007454894,1,0,40.11819,0.01600119
16-11-42.020,7,895,366,149,-162,22,111,-343,-29,-379,65.7,-108.23,178.2,0,0,-50.52916,0.01866937,1,0,40.21868,0.01600396
16-11-42.040,7,890,372,138,-124,-33,74,-337,-32,-377,65.89,-108.67,178,0,0,-50.88531,0.01190965,1,0,39.65566,0.01600674
